"mean" "sd" "tol"
"1" -0.00174727341603431 -0.0020738689386085 0.001
"2" -0.0103237751697793 -0.0091201068125133 0.001
"3" 0.0124328119456407 0.000845002694784269 0.001
"4" 0.0268442713218382 -0.00547376109206155 0.001
"5" 0.00768818782185068 -0.0147632179626493 0.001
"6" 0.00829116499911267 -0.0149722926991128 0.001
"7" 0.00310363871113267 -0.00832611087447499 0.001
"8" 0.0118409951561099 -0.0174830116485132 0.001
"9" 0.0310050962286657 -0.000170813756442123 0.001
"10" 0.0218480370547832 -0.0286777089823059 0.001
"11" 0.00738565877920319 -0.026425555250192 0.001
"12" 0.00249808840618318 -0.00590054282733843 0.001
"13" -0.0138057741781118 0.00647109619819153 0.001
"14" 0.0125085477291957 -0.0198516952597396 0.001
"15" -0.0195716594555268 0.0169894925291814 0.001
"16" -0.00484281798707431 0.00291424969446719 0.001
"17" 0.0116231434604182 -0.00369517779017947 0.001
"18" -0.00945174877275681 -0.00733269657061386 0.001
"19" 0.00684232315269995 -0.00920601622990713 0.001
"20" 0.00311654288079644 0.00097889319674227 0.001
"21" 0.00221984348014068 -0.0147091166813428 0.001
"22" -0.0145659734514918 -0.00562365392466002 0.001
"23" -0.00994406798908581 -0.0171306209217508 0.001
"24" 0.00391025014397819 -0.0131943078606479 0.001
"25" -0.0187413489002593 -0.0106956967539406 0.001
"26" -0.00661358924941485 -0.0210784013146904 0.001
"27" 0.0215587548115257 -0.0298707274471779 0.001
"28" 0.0137670761127457 -0.00781147427960971 0.001
"29" -0.00908929465915381 -0.0128082063009847 0.001
"30" 0.00520446408581493 -0.0146233770248306 0.001
"31" 0.0173471074151289 -0.00435936333141518 0.001
"32" -0.00337931276602432 -0.000401558918182165 0.001
"33" 0.00605013971173068 -0.0187062116444905 0.001
"34" 0.000886494346610672 -0.0190845684818364 0.001
"35" 0.00182157876256819 -0.000900006552100541 0.001
"36" -0.0130113442812368 -0.00207921638721409 0.001
"37" -0.0113033879455593 0.00144254127333177 0.001
"38" 0.0102931167290009 0.00379611862532547 0.001
"39" 0.0039594024804282 -0.0257393077725504 0.001
"40" -0.0142967245154543 -0.0187211958007527 0.001
"41" -0.00945254080918456 -0.016890413956248 0.001
"42" 0.000354869667293173 -0.00718762451693289 0.001
"43" -0.00203053889998556 0.0166663155391573 0.001
"44" 0.00184319521877818 -0.0270151615588052 0.001
"45" 0.0203325219945007 -0.0112298220801341 0.001
"46" 0.000841599566475698 0.00541027179340114 0.001
"47" -0.00472910722266082 -0.0108562936701276 0.001
"48" -0.0053379361702518 -0.0119003519689871 0.001
"49" 0.0111678973299872 -0.0149587867211566 0.001
"50" 0.0121286116526882 -0.0102554366075217 0.001
"51" 0.0150737912847282 -0.0177473371128628 0.001
"52" -0.00192728020069932 -0.00738626011258203 0.001
"53" 0.00124644373861069 -0.00853634190209795 0.001
"54" 0.00998391725120143 -0.0175769041105733 0.001
"55" 0.0270441835791932 0.0223213931505054 0.001
"56" 0.00843598807284068 0.00376539679869803 0.001
"57" 0.00336470980928569 -0.02272310888653 0.001
"58" -0.0102498335528718 -0.00380358263518821 0.001
"59" 0.00361110149372343 -0.013557838194354 0.001
"60" 0.000296346151615695 0.00781740861281477 0.001
"61" 0.00232064719266944 -0.0113687544574465 0.001
"62" 0.0227891121178757 -0.00407478799617189 0.001
"63" 0.0136421010940507 0.0025800586877649 0.001
"64" -0.00324705361465583 -0.00374959115306739 0.001
"65" 0.00669335342389069 -0.00851601901268262 0.001
"66" 0.00602385334019068 -0.0298403790874651 0.001
"67" -0.00867535351597432 -0.0216194230675554 0.001
"68" 0.0149937593668457 -0.00373108009200529 0.001
"69" -0.00219488160447681 -0.0139366328081256 0.001
"70" 0.0225087248847932 -0.0100132818025741 0.001
"71" -0.00917563770692731 0.00243076370354489 0.001
"72" -0.00473666200647183 0.00579542494285379 0.001
"73" -0.00330058549191931 -0.00181060602188243 0.001
"74" -0.00676270002424231 -0.027447968388969 0.001
"75" -0.000160460335724311 -0.0283258132627768 0.001
"76" -0.00139780681660931 0.0081116444290078 0.001
"77" 0.00417707559195318 -0.00981489619387066 0.001
"78" 0.014310089789342 -0.0338401107745678 0.001
"79" 0.0370673294071504 -0.0168205371828352 0.001
"80" 0.0098364367075762 0.00494138995224103 0.001
"81" 0.000160334363200676 -0.00733266410040978 0.001
"82" -0.00942183527246182 -0.00139034717862829 0.001
"83" -0.00738014943541931 0.00976550879983062 0.001
"84" 0.0113028563859052 -0.0212000275862254 0.001
"85" 0.0108905060547932 -0.01592976043351 0.001
"86" -0.00738265101994681 -0.010757177935275 0.001
"87" -0.00143630232872183 -0.020706466479657 0.001
"88" -0.0128033575790518 0.00158700729168582 0.001
"89" -0.0065973577262543 0.00113263284736154 0.001
"90" -0.0134527935394968 0.00237988260001221 0.001
"91" 0.0140194627793282 0.00406587927626312 0.001
"92" 0.0238435809094717 -0.00758104291555617 0.001
"93" 0.0271181839297524 -0.028039664813562 0.001
"94" -0.00870347109603431 0.0027943863456068 0.001
"95" 0.0152182608265757 -0.00342093044760194 0.001
"96" 0.0094881954517857 0.0076906408968761 0.001
"97" 0.0140789364437126 0.000724212220113873 0.001
"98" 0.0231301243151432 0.0070447785450175 0.001
"99" 0.000889964767590679 -0.00741687284990455 0.001
"100" -0.00444862810022181 -0.0169649352862909 0.001
"101" -0.0121488546070768 -0.00120099045225308 1e-04
"102" 0.00218180100324569 0.0182906209798667 1e-04
"103" -0.0124942951837518 0.0097715684989037 1e-04
"104" -0.00307269132422933 -0.00818437394756366 1e-04
"105" 0.00557446302060569 0.000533813440123487 1e-04
"106" 0.0159991495780442 -0.017454406497183 1e-04
"107" -0.0054592461865961 -0.00339561572321134 1e-04
"108" -0.00224419265365181 -0.00650488851921749 1e-04
"109" 0.00673674976291569 0.00844374230102207 1e-04
"110" -0.0100379657086593 0.00617726649691397 1e-04
"111" 0.00896838628845317 0.0250711872060236 1e-04
"112" 0.00744361221413317 -0.00851159168110249 1e-04
"113" -0.00149669436047564 -5.94993035247793e-05 1e-04
"114" -5.82201611647737e-05 0.00101697059766392 1e-04
"115" -0.0136693249108218 0.00398171685933368 1e-04
"116" 0.00881815773489819 -0.0174814478365354 1e-04
"117" -0.00259319998880181 0.00512443653846262 1e-04
"118" -0.00188505600934682 -0.00175971789991125 1e-04
"119" 0.0359715012845582 0.00233295568390768 1e-04
"120" -0.00267314713018932 -0.0001614987109676 1e-04
"121" 0.00284755172778819 0.0108929523378424 1e-04
"122" 0.0245817499905107 -0.00984052625458698 1e-04
"123" -0.0249668419058368 -0.00180555186363218 1e-04
"124" -0.0120761157238243 0.0204359769945202 1e-04
"125" -0.00178894989243181 0.00456787661648717 1e-04
"126" 0.0109738010625152 0.00378758726075779 1e-04
"127" 0.0270880206683057 -0.0141761729019403 1e-04
"128" 0.00750582052903317 0.00553788708456648 1e-04
"129" 0.00202770597132318 0.00137875008549715 1e-04
"130" -0.0237694291138843 -0.00553914896820151 1e-04
"131" 0.0118835218229476 -0.0141745517266658 1e-04
"132" -3.39348489993285e-05 0.0180011247321959 1e-04
"133" 0.00914251398146818 0.00454663969436397 1e-04
"134" 0.00739251030965318 0.0139376819546875 1e-04
"135" 0.00273016153256295 -0.0029087529177988 1e-04
"136" 0.00170020560859069 -0.00971685737702366 1e-04
"137" 0.00292602290023919 -0.00641866945505798 1e-04
